NewColumn.Index	Attribute	Value
Guid210	ChartId	chartId_1409236268862_0.06338412926500986
Guid210	vers	v3
Guid211	anonIP	ip132
Guid211	ChartId	chartId_1396858955191_0.8805984886414347
Guid211	vers	v3
Guid212	anonIP	ip132
Guid212	ChartId	chartId_1396859139570_0.20126507211170164
Guid212	vers	v3
Guid213	anonIP	ip132
Guid213	ChartId	chartId_1396859031382_0.5904044146482673
Guid213	vers	v3
Guid214	anonIP	ip133
Guid214	ChartId	chartId_1410165603331_0.27177055637659014
Guid214	vers	v3
Guid215	anonIP	ip133
Guid215	ChartId	chartId_1410165687229_0.7697674617106449
Guid215	vers	v3
Guid216	anonIP	ip134
Guid216	ChartId	chartId_1410167773138_0.23291888219608558
Guid216	vers	v3
Guid217	anonIP	ip135
Guid217	ChartId	chartId_1410168189294_0.48496428930008495
Guid217	vers	v3
Guid218	anonIP	ip135
Guid218	ChartId	chartId_1410168255884_0.471091770623972
Guid218	vers	v3
Guid219	anonIP	ip136
Guid219	ChartId	chartId_1410172768473_0.6133948809405886
Guid219	vers	v3
Guid220	anonIP	ip137
Guid220	ChartId	chartId_1410179651010_0.53780654022423
Guid220	vers	v3
Guid221	anonIP	ip138
Guid221	ChartId	chartId_1410181805512_0.6029040455382617
Guid221	vers	v3
Guid222	anonIP	ip138
Guid222	ChartId	chartId_1410181850757_0.48322853707818364
Guid222	vers	v3
Guid223	anonIP	ip139
Guid223	ChartId	chartId_1410182536586_0.5226173082871424
Guid223	vers	v3
Guid224	anonIP	ip139
Guid224	ChartId	chartId_1410183108210_0.998336441296829
Guid224	vers	v3
Guid225	anonIP	ip140
Guid225	ChartId	chartId_1410183724702_0.1634038406038163
Guid225	vers	v3
Guid226	anonIP	ip140
Guid226	ChartId	chartId_1410183755350_0.553145477542172
Guid226	vers	v3
Guid227	anonIP	ip141
Guid227	ChartId	chartId_1410187775864_0.7723961532744235
Guid227	vers	v3
Guid228	anonIP	ip141
Guid228	ChartId	chartId_1410188262533_0.0956887727121678
Guid228	vers	v3
Guid229	anonIP	ip142
Guid229	ChartId	chartId_1370004326917_0.8808246677321028
Guid229	vers	v3
Guid230	anonIP	ip143
Guid230	ChartId	chartId_1410194041457_0.006646826824332208
Guid230	vers	v3
Guid231	anonIP	ip144
Guid231	ChartId	chartId_1410194080308_0.6679484009705057
Guid231	vers	v3
Guid232	anonIP	ip145
Guid232	ChartId	chartId_1407872527991_0.578385022525833
Guid232	vers	v3
Guid233	anonIP	ip146
Guid233	ChartId	chartId_1410202114813_0.28038543460225157
Guid233	vers	v3
Guid235	anonIP	ip146
Guid235	ChartId	chartId_1410203618782_0.8132461527986061
Guid235	vers	v3
Guid234	anonIP	ip147
Guid234	ChartId	chartId_1410203611211_0.24165962049853257
Guid234	vers	v3
Guid236	anonIP	ip148
Guid236	ChartId	chartId_1410203687375_0.4024291849140979
Guid236	vers	v3
Guid237	anonIP	ip149
Guid237	ChartId	chartId_1410206530980_0.7042963028612956
Guid237	vers	v3
Guid238	anonIP	ip149
Guid238	ChartId	chartId_1410206737413_0.050124574945303424
Guid238	vers	v3
Guid239	anonIP	ip149
Guid239	ChartId	chartId_1410208195208_0.5981771748859177
Guid239	vers	v3
Guid240	anonIP	ip149
Guid240	ChartId	chartId_1410208824832_0.7536544446079314
Guid240	vers	v3
Guid241	anonIP	ip150
Guid241	ChartId	chartId_1410209749089_0.6400496330866784
Guid241	vers	v3
Guid246	anonIP	ip150
Guid246	ChartId	chartId_1410211449509_0.017616337077669242
Guid246	vers	v3
Guid247	anonIP	ip150
Guid247	ChartId	chartId_1410211966101_0.3016791123995599
Guid247	vers	v3
Guid248	anonIP	ip150
Guid248	ChartId	chartId_1410212860976_0.5641055917561966
Guid248	vers	v3
Guid249	anonIP	ip150
Guid249	ChartId	chartId_1410212916983_0.8557780177155909
Guid249	vers	v3
Guid250	anonIP	ip150
Guid250	ChartId	chartId_1410213132815_0.043690878531998656
Guid250	vers	v3
Guid251	anonIP	ip150
Guid251	ChartId	chartId_1410214672488_0.9099024554503126
Guid251	vers	v3
Guid252	anonIP	ip150
Guid252	ChartId	chartId_1410214890962_0.44069337420098053
Guid252	vers	v3
Guid254	anonIP	ip150
Guid254	ChartId	chartId_1410214930781_0.3813080656258061
Guid254	vers	v3
Guid255	anonIP	ip150
Guid255	ChartId	chartId_1410215279006_0.1313530393474165
Guid255	vers	v3
Guid257	anonIP	ip150
Guid257	ChartId	chartId_1410215781043_0.40453570472883277
